item_id,item_description,item_long_description,preferred_supplier_id,status_type_code_id,status_item_code_id,created_by,created_date,modified_by,modified_date
2000487,GREY BASALT BOULDERS,,1000003,102,1002,101,5/30/2005,101,5/30/2005
2000488,PLANTS,,1000027,102,1002,101,6/1/2005,101,6/1/2005
2000489,MISC WATER FEATURE ,,1000027,102,1002,101,6/5/2005,101,6/5/2005
2000490,DL-21 FOC MR16 BULLET,,1000002,102,1002,101,6/5/2005,101,6/5/2005
2000491,GU-0305FE DOLPHIN,,1000002,102,1002,101,6/5/2005,101,6/5/2005
2000492,H3O-250SS-AP N/S PC&TMR TRANS,,1000002,102,1002,101,6/5/2005,101,6/5/2005
2000493,"8-18"" RIVER ROUND ROCK ",,1000003,102,1002,101,6/11/2005,101,6/11/2005
2000494,ABIQUA BOULDERS,,1000003,102,1002,101,6/11/2005,101,6/11/2005
2000495,ABIQUA WALL ROCK,,1000003,102,1002,101,6/11/2005,101,6/11/2005
2000496,A-SPLIT STONE,,1000003,102,1002,101,6/11/2005,101,6/11/2005
2000497,BLACK BASALT WALL ROCK  ,,1000003,102,1002,101,6/11/2005,101,6/11/2005
2000498,"2-6"" RIVER ROCK",,1000003,102,1002,101,6/11/2005,101,6/11/2005
2000499,PEA GRAVEL,,1000003,102,1002,101,6/11/2005,101,6/11/2005
2000500,"1/4"" MINUS ",,1000003,102,1002,101,6/11/2005,101,6/11/2005
2000501,LUSTER SEAL 300,,1000033,102,1002,101,7/31/2005,101,7/31/2005
2000502,ESP-4MI,,1000002,102,1002,101,8/6/2005,101,8/6/2005
2000503,ESP-4M,,1000002,102,1002,101,8/6/2005,101,8/6/2005
2000504,SM-3,,1000002,102,1002,101,8/6/2005,101,8/6/2005
2000505,LIZZARD FACTOR,,1000027,102,1002,101,8/24/2005,101,8/24/2005
2000506,MISC.,,1000027,102,1003,101,8/25/2005,101,8/25/2005
2000510,LABOR - INSTALL SLABS,,1000027,102,1002,101,10/19/2005,101,10/19/2005
2000508,HEMLOCK BARK MULCH,,1000004,102,1002,101,8/25/2005,101,8/25/2005
2000509,SLAB BOULDERS,,1000003,102,1002,101,10/4/2005,101,10/4/2005
2000511,LABOR - INSTALL TOPSOIL,,1000027,102,1002,101,10/19/2005,101,10/19/2005
2000512,BLOW IN BARK (LARGE LOAD),,1000004,102,1002,101,11/13/2005,101,11/13/2005
2000513,BLOW IN BARK (SHORT LOAD)  ,,1000004,102,1002,101,11/13/2005,101,11/13/2005
2000514,LABOR - INSTALL BARK MULCH,,1000027,102,1002,101,11/13/2005,101,11/13/2005
2000515,RONSTAR,,1000027,102,1002,101,11/13/2005,101,11/13/2005
2000516,ANCHOR DIAMOND MANOR STONE WALL BLOCKS,"THIS MATERIAL IS 16"" (L) X 12"" (W) X 6"" (D)",1000033,102,1002,101,11/13/2005,101,11/13/2005
2000517,LABOR - BASE RUN LAY,THE MULTIPLIER IS USUALLY .10 - .167  HRS PER STONE (60 DIVIDED BY X (HOW MANY PER HOUR) = N THEN DIVIDE N BY 60 TO GET THE MULTIPLIER). TAKE THE AMOUNT OF BLOCKS AND MULTIPLY BY THE MULTIPLER TO GET HOW MANY HOURS IT WILL TAKE TO INSTALL THE MATERIALS   ,1000027,102,1002,101,11/13/2005,101,11/13/2005
2000518,LABOR - INSTALL WALL BASE,,1000027,102,1002,101,11/13/2005,101,11/13/2005
2000519,"1"" ROUND DRAIN ROCK ",,1000003,102,1002,101,11/13/2005,101,11/13/2005
2000520,LABOR - INSTALL WALL BLOCKS,LOOK @ THE NOTE ON BASE RUN LAY. ,1000027,102,1002,101,11/13/2005,101,11/13/2005
2000521,LABOR - INSTALL STONE,,1000027,102,1002,101,11/13/2005,101,11/13/2005
2000522,LABOR - LAY OUT BRICKS,15-20 SQUARE FEET/ HOUR ,1000027,102,1002,101,11/13/2005,101,11/13/2005
2000523,"1-1/2"" SCH 40 S/W PVC PIPE",,1000002,102,1002,101,12/10/2005,101,12/10/2005
2000524,SBE-075 3/4 MXB R/B PLS 90-ELL ,,1000002,102,1002,101,12/10/2005,101,12/10/2005
2000525,"6""X20' PVC/DWV COEXL PIPE",,1000002,102,1002,101,12/10/2005,101,12/10/2005
2000526,MD-COUPLING R/B COMP COUPLING,,1000002,102,1002,101,12/10/2005,101,12/10/2005
2000527,MD-CAP R/B SNAP CAP,,1000002,102,1002,101,12/10/2005,101,12/10/2005
2000528,LABOR - DRIP INSTALLATION,,1000027,102,1002,101,12/10/2005,101,12/10/2005
2000529,LABOR - INSTALL COMPOST,,1000027,102,1002,101,12/14/2005,101,12/14/2005
2000530,ON SITE DESIGN/ PROJECT MANAGEMENT ,,1000027,102,1002,101,1/10/2006,101,1/10/2006
